Day,WY,month,discharge_cfps,wy_date,E_day,r_day,dishcarge_cmps
3,2017,SEP,1.3,2017-09-03,NA,NA,0.036811900569599994
4,2017,OCT,0.78,2017-10-04,NA,NA,0.022087140341759993
4,2017,NOV,NA,2017-11-04,NA,NA,NA
4,2017,DEC,NA,2017-12-04,NA,NA,NA
4,2017,JAN,1.3,2017-01-04,NA,NA,0.036811900569599994
4,2017,FEB,0.22,2017-02-04,NA,NA,0.006229706250239999
4,2017,MAR,1.1,2017-03-04,NA,NA,0.031148531251199995
4,2017,APR,10,2017-04-04,NA,NA,0.2831684659199999
4,2017,MAY,4.8,2017-05-04,NA,NA,0.13592086364159997
4,2017,JUN,2,2017-06-04,NA,NA,0.05663369318399999
4,2017,JUL,1.4,2017-07-04,NA,NA,0.03964358522879999
4,2017,AUG,1.3,2017-08-04,NA,NA,0.036811900569599994
4,2017,SEP,1.3,2017-09-04,NA,NA,0.036811900569599994
5,2017,OCT,0.72,2017-10-05,NA,NA,0.020388129546239996
5,2017,NOV,NA,2017-11-05,NA,NA,NA
5,2017,DEC,NA,2017-12-05,NA,NA,NA
5,2017,JAN,1.3,2017-01-05,NA,NA,0.036811900569599994
5,2017,FEB,0.49,2017-02-05,NA,NA,0.013875254830079996
5,2017,MAR,0.89,2017-03-05,NA,NA,0.025201993466879995
5,2017,APR,9.1,2017-04-05,NA,NA,0.2576833039871999
5,2017,MAY,4.7,2017-05-05,NA,NA,0.13308917898239997
5,2017,JUN,1.8,2017-06-05,NA,NA,0.050970323865599985
5,2017,JUL,1.2,2017-07-05,NA,NA,0.03398021591039999
5,2017,AUG,1.5,2017-08-05,NA,NA,0.04247526988799999
5,2017,SEP,1.3,2017-09-05,NA,NA,0.036811900569599994
6,2017,OCT,0.34,2017-10-06,NA,NA,0.00962772784128
6,2017,NOV,NA,2017-11-06,NA,NA,NA
6,2017,DEC,NA,2017-12-06,NA,NA,NA
6,2017,JAN,3.4,2017-01-06,NA,NA,0.09627727841279997
6,2017,FEB,0.71,2017-02-06,NA,NA,0.020104961080319995
6,2017,MAR,1.2,2017-03-06,NA,NA,0.03398021591039999
6,2017,APR,9.9,2017-04-06,NA,NA,0.2803367812607999
6,2017,MAY,5.2,2017-05-06,NA,NA,0.14724760227839997
6,2017,JUN,1.7,2017-06-06,NA,NA,0.048138639206399984
6,2017,JUL,0.8,2017-07-06,NA,NA,0.0226534772736
6,2017,AUG,1.2,2017-08-06,NA,NA,0.03398021591039999
6,2017,SEP,1.3,2017-09-06,NA,NA,0.036811900569599994
7,2017,OCT,0.4,2017-10-07,NA,NA,0.0113267386368
7,2017,NOV,NA,2017-11-07,NA,NA,NA
7,2017,DEC,NA,2017-12-07,NA,NA,NA
7,2017,JAN,3.1,2017-01-07,NA,NA,0.08778222443519998
7,2017,FEB,0.93,2017-02-07,NA,NA,0.026334667330559995
7,2017,MAR,2.2,2017-03-07,NA,NA,0.06229706250239999
7,2017,APR,8.8,2017-04-07,NA,NA,0.24918825000959996
7,2017,MAY,5.3,2017-05-07,NA,NA,0.15007928693759998
7,2017,JUN,2,2017-06-07,NA,NA,0.05663369318399999
7,2017,JUL,0.4,2017-07-07,NA,NA,0.0113267386368
7,2017,AUG,1,2017-08-07,NA,NA,0.028316846591999994
7,2017,SEP,1.3,2017-09-07,NA,NA,0.036811900569599994
8,2017,OCT,0.76,2017-10-08,NA,NA,0.021520803409919995
8,2017,NOV,NA,2017-11-08,NA,NA,NA
8,2017,DEC,NA,2017-12-08,NA,NA,NA
8,2017,JAN,1.6,2017-01-08,NA,NA,0.0453069545472
8,2017,FEB,0.96,2017-02-08,NA,NA,0.027184172728319994
8,2017,MAR,3.3,2017-03-08,NA,NA,0.09344559375359997
8,2017,APR,7.1,2017-04-08,NA,NA,0.20104961080319994
8,2017,MAY,4.5,2017-05-08,NA,NA,0.12742580966399997
8,2017,JUN,2.8,2017-06-08,NA,NA,0.07928717045759998
8,2017,JUL,0.23,2017-07-08,NA,NA,0.0065128747161599995
8,2017,AUG,0.92,2017-08-08,NA,NA,0.026051498864639998
8,2017,SEP,1.3,2017-09-08,NA,NA,0.036811900569599994
9,2017,OCT,1.1,2017-10-09,NA,NA,0.031148531251199995
9,2017,NOV,NA,2017-11-09,NA,NA,NA
9,2017,DEC,NA,2017-12-09,NA,NA,NA
9,2017,JAN,1,2017-01-09,NA,NA,0.028316846591999994
9,2017,FEB,1.2,2017-02-09,NA,NA,0.03398021591039999
9,2017,MAR,4.8,2017-03-09,NA,NA,0.13592086364159997
9,2017,APR,6.7,2017-04-09,NA,NA,0.18972287216639996
9,2017,MAY,4.2,2017-05-09,NA,NA,0.11893075568639998
9,2017,JUN,1.9,2017-06-09,NA,NA,0.05380200852479998
9,2017,JUL,0.36,2017-07-09,NA,NA,0.010194064773119998
9,2017,AUG,0.88,2017-08-09,NA,NA,0.024918825000959995
9,2017,SEP,1.4,2017-09-09,NA,NA,0.03964358522879999
10,2017,OCT,1.4,2017-10-10,NA,NA,0.03964358522879999
10,2017,NOV,NA,2017-11-10,NA,NA,NA
10,2017,DEC,NA,2017-12-10,NA,NA,NA
10,2017,JAN,0.95,2017-01-10,NA,NA,0.02690100426239999
10,2017,FEB,1,2017-02-10,NA,NA,0.028316846591999994
10,2017,MAR,6.2,2017-03-10,NA,NA,0.17556444887039996
10,2017,APR,7.5,2017-04-10,NA,NA,0.21237634943999997
